Id,Label,Color
310,Miles,14
311,Chowan,14
312,Dartmouth,1
313,Wisconsin-Oshkosh,7
314,Mississippi College,11
315,Virginia-Wise,21
316,Arkansas Tech,4
317,West Liberty State,18
318,Alderson Broaddus,1
319,Limestone College,6
320,Kentucky Wesleyan,10
321,Wesley,21
