Id,Label,Color
310,Miles,8
311,Chowan,8
312,Dartmouth,17
313,Wisconsin-Oshkosh,23
314,Mississippi College,19
315,Virginia-Wise,1
316,Arkansas Tech,19
317,West Liberty State,5
318,Alderson Broaddus,5
319,Limestone College,12
320,Kentucky Wesleyan,15
321,Wesley,8
